DATE,HOUR,TAVG,PREC,RHAVG,RAD,W_INT_AVG
1999-03-19,6,-0.7,0,91.3,1.5,0.2
1999-03-19,7,0.4,0,82.8,74.1,0.2
1999-03-19,8,4.8,0,67.3,237.7,0.4
1999-03-19,9,9.4,0,50.7,397.9,0.4
1999-03-19,10,12,0,36.4,542.0,0.8
1999-03-19,11,12.8,0,31.6,641.3,2.1
1999-03-19,12,15.4,0,28,680.6,1.0
1999-03-19,13,17.1,0,29.5,683.2,0.7
1999-03-19,14,17.9,0,25.5,625.5,1.2
1999-03-19,15,18.3,0,20.2,514.4,1.3
1999-03-19,16,18.7,0,18.4,365.7,1.6
1999-03-19,17,18.8,0,18.4,194.8,1.3
1999-03-19,18,14,0,31.8,39.1,1.0
1999-03-19,19,9.9,0,41.2,0.5,1.1
1999-03-19,20,8.9,0,43.6,0.0,1.2
1999-03-19,21,8.7,0,41.2,0.1,0.6
1999-03-19,22,6.8,0,48.5,0.0,0.3
1999-03-19,23,4.3,0,58.6,0.0,0.3
1999-03-20,0,3.4,0,61.5,0.0,0.2
1999-03-20,1,2,0,68.5,0.0,0.2
1999-03-20,2,1.4,0,70.1,0.0,0.3
1999-03-20,3,0.9,0,72.2,0.0,0.2
1999-03-20,4,1,0,69.6,0.0,0.2
1999-03-20,5,1.1,0,69.4,0.0,0.2
1999-03-20,6,0.5,0,72.8,2.4,0.2
1999-03-20,7,2.2,0,63.8,81.2,0.2
1999-03-20,8,7.1,0,55.5,242.5,0.3
1999-03-20,9,12.6,0,32.9,411.6,0.8
1999-03-20,10,15,0,27.4,552.2,1.0
1999-03-20,11,16.9,0,25.7,651.4,1.1
1999-03-20,12,17.4,0,24.3,700.0,2.0
1999-03-20,13,19.3,0,21.1,695.0,2.3
1999-03-20,14,21.1,0,14.8,560.3,2.9
1999-03-20,15,21.4,0,14.7,424.8,2.3
1999-03-20,16,22,0,12.8,370.3,2.2
1999-03-20,17,21.1,0,14.4,163.8,1.2
1999-03-20,18,15,0,27.7,24.4,0.8
1999-03-20,19,10.8,0,39.9,0.3,0.7
1999-03-20,20,9.5,0,41.6,0.1,0.3
1999-03-20,21,9.8,0,36.7,0.0,0.7
1999-03-20,22,13.4,0,24.4,0.0,1.5
1999-03-20,23,12.6,0,26.4,0.0,0.7
1999-03-21,0,9.5,0,35.6,0.0,0.6
1999-03-21,1,8.5,0,44.5,0.0,1.1
1999-03-21,2,7.6,0,47.4,0.1,1.0
1999-03-21,3,9.4,0,59.3,0.0,5.0
1999-03-21,4,8.6,0,64.9,0.0,5.9
1999-03-21,5,8.5,0,63,0.0,4.3
1999-03-21,6,8.4,0,62.6,1.8,4.2
1999-03-21,7,8.3,0,62.6,55.2,3.0
1999-03-21,8,8.3,0,63,202.6,2.4
1999-03-21,9,9,0,60.1,390.2,3.6
1999-03-21,10,9.3,0,60,562.2,5.2
1999-03-21,11,9.5,0,58.9,534.5,5.9
1999-03-21,12,8.7,0,58.9,306.1,6.1
1999-03-21,13,6.9,0,64.3,114.2,5.8
1999-03-21,14,6.1,0,70.4,105.2,5.5
1999-03-21,15,5.5,0,75.8,49.6,3.9
1999-03-21,16,4.6,0,86.7,50.8,4.3
1999-03-21,17,4.3,1,90.4,22.7,1.0
1999-03-21,18,4.2,1,94.3,8.5,0.5
1999-03-21,19,4,0,95.9,0.2,0.2
1999-03-21,20,3.6,0,96.8,0.0,1.1
1999-03-21,21,3.7,0,97.2,0.0,0.5
1999-03-21,22,3.4,0,97.2,0.0,0.5
1999-03-21,23,2.1,0,97.6,0.1,0.7
1999-03-22,0,1.3,0,97.7,0.0,0.7
1999-03-22,1,0.8,0,97.6,0.0,0.5
1999-03-22,2,0.9,0,97.6,0.0,0.4
1999-03-22,3,0.3,0,97.2,0.0,0.6
1999-03-22,4,-0.2,0,97.5,0.0,0.7
1999-03-22,5,-0.3,0,98,0.0,0.6
1999-03-22,6,-0.5,0,97.8,2.4,0.4
1999-03-22,7,1.2,0,92.9,116.1,0.2
1999-03-22,8,4,0,83.3,285.4,1.5
